Question,Answer
Tell me about GE Definium Tempo,"Device: GE Definium Tempo | Manufacturer: GE Healthcare | Accuracy: 98% | Price: ₹18-25 Lakhs | Detector Type: Digital Detector | Applications: General Radiography, Chest Imaging | Features: High image quality, Low maintenance | Recommended for Hospitals and Diagnostic Centers."
What is the price of GE Definium Tempo?,"GE Definium Tempo costs between ₹18 lakhs and ₹25 lakhs."
What is the accuracy of GE Definium Tempo?,"GE Definium Tempo has an accuracy of 98%."
Who manufactures GE Definium Tempo?,"GE Healthcare manufactures GE Definium Tempo."
What is the detector type of GE Definium Tempo?,"GE Definium Tempo uses Digital Detector technology."
What are the applications of GE Definium Tempo?,"GE Definium Tempo is used for General Radiography and Chest Imaging."
What are the features of GE Definium Tempo?,"High image quality and low maintenance are key features of GE Definium Tempo."

Tell me about Siemens Multix Fusion,"Device: Siemens Multix Fusion | Manufacturer: Siemens Healthineers | Accuracy: 99% | Price: ₹20-30 Lakhs | Detector Type: Flat Panel Detector | Applications: Chest Imaging, Orthopedic Imaging, Emergency Imaging | Features: Premium imaging quality, Fast processing | Recommended for Hospitals."
What is the price of Siemens Multix Fusion?,"Siemens Multix Fusion costs between ₹20 lakhs and ₹30 lakhs."
What is the accuracy of Siemens Multix Fusion?,"Siemens Multix Fusion has 99% accuracy."
Who manufactures Siemens Multix Fusion?,"Siemens Healthineers manufactures Siemens Multix Fusion."
What is the detector type of Siemens Multix Fusion?,"Siemens Multix Fusion uses Flat Panel Detector technology."
What are the applications of Siemens Multix Fusion?,"Chest Imaging, Orthopedic Imaging and Emergency Imaging."
What are the features of Siemens Multix Fusion?,"Premium image quality and fast processing are key features."

Tell me about Philips DigitalDiagnost C90,"Device: Philips DigitalDiagnost C90 | Manufacturer: Philips | Accuracy: 97% | Price: ₹15-28 Lakhs | Detector Type: Digital Detector | Applications: General Radiography, Orthopedic Imaging | Features: High image quality, Low radiation dose | Recommended for Hospitals."
What is the price of Philips DigitalDiagnost C90?,"Philips DigitalDiagnost C90 costs between ₹15 lakhs and ₹28 lakhs."
What is the accuracy of Philips DigitalDiagnost C90?,"Philips DigitalDiagnost C90 has 97% accuracy."
Who manufactures Philips DigitalDiagnost C90?,"Philips manufactures DigitalDiagnost C90."
What is the detector type of Philips DigitalDiagnost C90?,"Philips DigitalDiagnost C90 uses Digital Detector technology."
What are the applications of Philips DigitalDiagnost C90?,"General Radiography and Orthopedic Imaging."
What are the features of Philips DigitalDiagnost C90?,"High image quality and reduced radiation dose."

Tell me about Fujifilm FDR Smart X,"Device: Fujifilm FDR Smart X | Manufacturer: Fujifilm | Accuracy: 96% | Price: ₹12-22 Lakhs | Detector Type: Digital Detector | Applications: Portable Imaging, Emergency Radiography | Features: Lightweight and fast image acquisition."
What is the price of Fujifilm FDR Smart X?,"Fujifilm FDR Smart X costs between ₹12 lakhs and ₹22 lakhs."
What is the accuracy of Fujifilm FDR Smart X?,"Fujifilm FDR Smart X has 96% accuracy."
Who manufactures Fujifilm FDR Smart X?,"Fujifilm manufactures FDR Smart X."
What are the applications of Fujifilm FDR Smart X?,"Portable Imaging and Emergency Radiography."
What are the features of Fujifilm FDR Smart X?,"Lightweight design and fast image acquisition."

Which machine has the highest accuracy?,"Siemens Multix Fusion has the highest accuracy of 99%."
Which machine has the lowest accuracy?,"Fujifilm FDR Smart X has the lowest accuracy of 96%."
Which machine is the cheapest?,"Fujifilm FDR Smart X is the cheapest X-ray machine."
Which machine is the most expensive?,"Siemens Multix Fusion is the most expensive X-ray machine."
Which machine is recommended for hospitals?,"Siemens Multix Fusion is highly recommended for hospitals due to its 99% accuracy."
Best X-ray machine?,"Siemens Multix Fusion is considered the best X-ray machine because of its high accuracy and premium imaging."
Highest accuracy machine?,"Siemens Multix Fusion provides the highest accuracy of 99%."
Cheapest X-ray machine?,"Fujifilm FDR Smart X is the cheapest X-ray machine."

Tell me about Siemens SOMATOM Force,"Device: Siemens SOMATOM Force | Manufacturer: Siemens Healthineers | Accuracy: 99% | Price: ₹1.8-3 Crores | Technology: Dual Source CT | Applications: Cardiac Imaging, Oncology, Emergency Imaging | Features: Ultra-fast scanning, Low radiation dose, AI reconstruction | Recommended for Multi-specialty Hospitals."
What is the price of Siemens SOMATOM Force?,"Siemens SOMATOM Force costs between ₹1.8 crores and ₹3 crores."
What is the accuracy of Siemens SOMATOM Force?,"Siemens SOMATOM Force provides 99% accuracy."
Who manufactures Siemens SOMATOM Force?,"Siemens Healthineers manufactures Siemens SOMATOM Force."
